name,hostelid,city,url
Planet Traveler Hostel,48151,Toronto,https://www.hostelworld.com/hosteldetails.php/Planet-Traveler-Hostel/Toronto/48151
HI Toronto,3856,Toronto,https://www.hostelworld.com/hosteldetails.php/HI-Toronto/Toronto/3856
College Backpackers,92762,Toronto,https://www.hostelworld.com/hosteldetails.php/College-Backpackers/Toronto/92762
All Days Hostel,42418,Toronto,https://www.hostelworld.com/hosteldetails.php/All-Days-Hostel/Toronto/42418
The Clarence Park,71032,Toronto,https://www.hostelworld.com/hosteldetails.php/The-Clarence-Park/Toronto/71032
Two Peas Pod Hostel,285849,Toronto,https://www.hostelworld.com/hosteldetails.php/Two-Peas-Pod-Hostel/Toronto/285849
The Parkdale Hostellerie,283311,Toronto,https://www.hostelworld.com/hosteldetails.php/The-Parkdale-Hostellerie/Toronto/283311
The Only Backpacker's Inn,49758,Toronto,https://www.hostelworld.com/hosteldetails.php/The-Only-Backpacker-s-Inn/Toronto/49758
Rex Hotel,284128,Toronto,https://www.hostelworld.com/hosteldetails.php/Rex-Hotel/Toronto/284128
Hostel Toronto,282602,Toronto,https://www.hostelworld.com/hosteldetails.php/Hostel-Toronto/Toronto/282602
West Queen West Hotel,274415,Toronto,https://www.hostelworld.com/hosteldetails.php/West-Queen-West-Hotel/Toronto/274415
Alexandra Hotel,9972,Toronto,https://www.hostelworld.com/hosteldetails.php/Alexandra-Hotel/Toronto/9972
St. Lawrence Residences & Suites,266617,Toronto,https://www.hostelworld.com/hosteldetails.php/St-Lawrence-Residences-and-Suites/Toronto/266617
Comfy Guest House and Suite,34340,Toronto,https://www.hostelworld.com/hosteldetails.php/Comfy-Guest-House-and-Suite/Toronto/34340
Ada's Guesthouse,68735,Toronto,https://www.hostelworld.com/hosteldetails.php/Ada-s-Guesthouse/Toronto/68735
Keppner Guesthouse,67775,Toronto,https://www.hostelworld.com/hosteldetails.php/Keppner-Guesthouse/Toronto/67775
Arty Paris Porte de Versailles by Hiphophostels,64845,Paris,https://www.hostelworld.com/hosteldetails.php/Arty-Paris-Porte-de-Versailles-by-Hiphophostels/Paris/64845
Vintage Paris Gare du Nord by Hiphophostels,34761,Paris,https://www.hostelworld.com/hosteldetails.php/Vintage-Paris-Gare-du-Nord-by-Hiphophostels/Paris/34761
Le Regent Montmartre by Hiphophostels,40614,Paris,https://www.hostelworld.com/hosteldetails.php/Le-Regent-Montmartre-by-Hiphophostels/Paris/40614
St Christopher's Inn Canal,19865,Paris,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-Canal/Paris/19865
Les Piaules,100113,Paris,https://www.hostelworld.com/hosteldetails.php/Les-Piaules/Paris/100113
Plug Inn Montmartre by Hiphophostels,40840,Paris,https://www.hostelworld.com/hosteldetails.php/Plug-Inn-Montmartre-by-Hiphophostels/Paris/40840
St Christopher's Inn Gare du Nord,72963,Paris,https://www.hostelworld.com/hosteldetails.php/St-Christopher-s-Inn-Gare-du-Nord/Paris/72963
Le Montclair Montmartre by Hiphophostels,1399,Paris,https://www.hostelworld.com/hosteldetails.php/Le-Montclair-Montmartre-by-Hiphophostels/Paris/1399
Generator Paris,92198,Paris,https://www.hostelworld.com/hosteldetails.php/Generator-Paris/Paris/92198
FIAP Jean Monnet,20653,Paris,https://www.hostelworld.com/hosteldetails.php/FIAP-Jean-Monnet/Paris/20653
The 3 Ducks Eiffel Tower by Hiphophostels,600,Paris,https://www.hostelworld.com/hosteldetails.php/The-3-Ducks-Eiffel-Tower-by-Hiphophostels/Paris/600
Enjoy Hostel,267345,Paris,https://www.hostelworld.com/hosteldetails.php/Enjoy-Hostel/Paris/267345
MIJE Fourcy Fauconnier Maubuisson,265100,Paris,https://www.hostelworld.com/hosteldetails.php/MIJE-Fourcy-Fauconnier-Maubuisson/Paris/265100
The Loft Boutique Hostel Paris by Hiphophostels,63087,Paris,https://www.hostelworld.com/hosteldetails.php/The-Loft-Boutique-Hostel-Paris-by-Hiphophostels/Paris/63087
Perfect Hostel,14156,Paris,https://www.hostelworld.com/hosteldetails.php/Perfect-Hostel/Paris/14156
Woodstock Montmartre by Hiphophostels,602,Paris,https://www.hostelworld.com/hosteldetails.php/Woodstock-Montmartre-by-Hiphophostels/Paris/602
Hotel Andre Gill,29,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Andre-Gill/Paris/29
Le Village Montmartre by Hiphophostels,606,Paris,https://www.hostelworld.com/hosteldetails.php/Le-Village-Montmartre-by-Hiphophostels/Paris/606
Hotel Montmartre Clignancourt,23291,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Montmartre-Clignancourt/Paris/23291
Oops Latin Quarter by Hiphophostels,22773,Paris,https://www.hostelworld.com/hosteldetails.php/Oops-Latin-Quarter-by-Hiphophostels/Paris/22773
Aloha Eiffel Tower by Hiphophostels,601,Paris,https://www.hostelworld.com/hosteldetails.php/Aloha-Eiffel-Tower-by-Hiphophostels/Paris/601
L'Hotel Particulier,37116,Paris,https://www.hostelworld.com/hosteldetails.php/L-Hotel-Particulier/Paris/37116
Young & Happy Latin Quarter by Hiphophostels,607,Paris,https://www.hostelworld.com/hosteldetails.php/Young-and-Happy-Latin-Quarter-by-Hiphophostels/Paris/607
Peace & Love Hostel,2303,Paris,https://www.hostelworld.com/hosteldetails.php/Peace-and-Love-Hostel/Paris/2303
Yooma Urban Lodge,276091,Paris,https://www.hostelworld.com/hosteldetails.php/Yooma-Urban-Lodge/Paris/276091
