name,hostelid,city,url
Hotel Bonsejour Montmartre,19538,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Bonsejour-Montmartre/Paris/19538
BVJ Champs-Elys̩es,84994,Paris,https://www.hostelworld.com/hosteldetails.php/BVJ-Champs-Elysees/Paris/84994
Absolute Paris Boutique Hostel,7276,Paris,https://www.hostelworld.com/hosteldetails.php/Absolute-Paris-Boutique-Hostel/Paris/7276
Caulaincourt Montmartre by Hiphophostels,2193,Paris,https://www.hostelworld.com/hosteldetails.php/Caulaincourt-Montmartre-by-Hiphophostels/Paris/2193
Adveniat Paris,271889,Paris,https://www.hostelworld.com/hosteldetails.php/Adveniat-Paris/Paris/271889
Smart Place Paris Gare du Nord by Hiphophostels,4887,Paris,https://www.hostelworld.com/hosteldetails.php/Smart-Place-Paris-Gare-du-Nord-by-Hiphophostels/Paris/4887
Hotel Darcet Paris,79010,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Darcet-Paris/Paris/79010
Auberge Internationale des Jeunes,75279,Paris,https://www.hostelworld.com/hosteldetails.php/Auberge-Internationale-des-Jeunes/Paris/75279
BVJ Opera-Montmartre,82165,Paris,https://www.hostelworld.com/hosteldetails.php/BVJ-Opera-Montmartre/Paris/82165
Boissiere,1651,Paris,https://www.hostelworld.com/hosteldetails.php/Boissiere/Paris/1651
Bastille Hostel,263338,Paris,https://www.hostelworld.com/hosteldetails.php/Bastille-Hostel/Paris/263338
Eurohotel St Denis,36568,Paris,https://www.hostelworld.com/hosteldetails.php/Eurohotel-St-Denis/Paris/36568
Luna-Park Hotel,15767,Paris,https://www.hostelworld.com/hosteldetails.php/Luna-Park-Hotel/Paris/15767
Hotel Gerando,47,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Gerando/Paris/47
Hotel des Arts,12636,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Arts/Paris/12636
Pariscoree,95918,Paris,https://www.hostelworld.com/hosteldetails.php/Pariscoree/Paris/95918
Hotel Du Globe,99002,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Du-Globe/Paris/99002
